PUMACE20,rpa_acr
100,BRPC
201,FRCOG
301,PVPC
401,PVPC
402,PVPC
403,PVPC
501,MRPC
502,MRPC
503,CMRPC
504,CMRPC
505,CMRPC
506,CMRPC
507,CMRPC
601,MRPC
602,NMCOG
603,NMCOG
604,MAPC
605,MAPC
606,MAPC
607,MAPC
608,MAPC
609,MAPC
610,MAPC
611,MAPC
612,MAPC
613,MAPC
701,MVPC
702,MVPC
703,MVPC
704,MAPC
705,MAPC
706,MAPC
801,MAPC
802,MAPC
803,MAPC
804,MAPC
805,MAPC
806,MAPC
901,MAPC
902,MAPC
903,MAPC
904,MAPC
905,MAPC
906,MAPC
1001,SRPEDD
1002,SRPEDD
1003,SRPEDD
1004,SRPEDD
1101,OCPC
1102,OCPC
1103,MAPC
1104,SRPEDD
1201,CCC
1301,CCC
